"year","value"
2017.5,473.27
2018,502.75
2018.5,480.20
2019,523.09
2019.5,529.46
2020,610.79
2020.5,583.48
2021,614.08
2021.5,619.46
2022,654.79
2022.5,641.74
2023,745.60
